prevision_j,heure,fioul_tac,nucleaire,ech_comm_angleterre,date,gaz_tac,bioenergies_biogaz,bioenergies_biomasse,destockage_batterie,charbon,prevision_j1,hydraulique_step_turbinage,stockage_batterie,pompage,gaz_ccg,hydraulique_lacs,eolien_terrestre,ech_comm_allemagne_belgique,fioul,solaire,ech_comm_italie,bioenergies,gaz_autres,date_heure,fioul_cogen,gaz_cogen,hydraulique_fil_eau_eclusee,hydraulique,ech_comm_suisse,eolien_offshore,perimetre,ech_comm_espagne,taux_co2,eolien,ech_physiques,bioenergies_dechets,nature,consommation,gaz,fioul_autres
68100,09:00,0,53317,-1400,2025-01-03,0,252,357,2,0,69800,1452,-2,0,1152,3147,2318,7404,110,534,-3591,902,0,2025-01-03T08:00:00+00:00,110,1748,6012,10610,-3200,478,France,-3237,25,2795,-3072,292,Données temps réel,68092,2899,0
68750,09:15,1,53238,-1400,2025-01-03,0,252,356,37,0,70400,1910,0,0,1269,3371,2328,7404,111,836,-3591,900,0,2025-01-03T08:15:00+00:00,110,1747,6177,11458,-3200,493,France,-3237,25,2821,-3742,293,Données temps réel,68670,3015,0
69400,09:30,0,53171,-1400,2025-01-03,0,252,359,2,0,71000,1883,-2,-38,1401,3321,2241,7407,110,1139,-3591,902,0,2025-01-03T08:30:00+00:00,110,1748,6137,11342,-3200,477,France,-3237,26,2717,-3097,291,Données temps réel,69392,3148,0
69500,09:45,0,53128,-1400,2025-01-03,0,252,360,2,0,71300,1794,-5,-55,1380,3302,2196,7407,109,1616,-3591,905,0,2025-01-03T08:45:00+00:00,110,1743,6143,11239,-3200,479,France,-3237,26,2676,-3395,293,Données temps réel,69338,3121,0
69600,10:00,0,53028,-2439,2025-01-03,0,252,362,2,0,71600,1582,-4,-60,1386,3228,2189,7756,110,1961,-3619,906,0,2025-01-03T09:00:00+00:00,110,1743,6242,11052,-3200,499,France,-691,26,2688,-3155,292,Données temps réel,69653,3128,0
69850,10:15,2,52940,-2439,2025-01-03,0,252,358,5,0,71900,944,-3,-57,1388,2989,2248,7756,112,2468,-3619,909,0,2025-01-03T09:15:00+00:00,110,1741,6074,10007,-3200,552,France,-691,26,2799,-2292,299,Données temps réel,70011,3128,0
70100,10:30,1,52915,-2439,2025-01-03,0,252,357,5,0,72200,810,0,-56,1404,2920,2226,7756,111,2921,-3619,909,0,2025-01-03T09:30:00+00:00,110,1734,6064,9794,-3200,577,France,-691,26,2803,-2478,301,Données temps réel,70056,3136,0
69950,10:45,0,52877,-2439,2025-01-03,0,252,357,5,0,72100,631,-1,-58,1372,2803,2134,7756,109,3309,-3619,905,0,2025-01-03T09:45:00+00:00,110,1736,5958,9392,-3200,600,France,-691,26,2734,-2319,297,Données temps réel,70057,3107,0
69800,11:00,0,53243,-2433,2025-01-03,0,252,356,7,0,72000,395,-3,-56,1374,2592,2110,7467,109,3814,-3619,905,0,2025-01-03T10:00:00+00:00,110,1737,5860,8848,-3200,564,France,760,26,2674,-2887,297,Données temps réel,69759,3110,0
69850,11:15,0,52979,-2433,2025-01-03,0,252,357,1,0,72200,512,-21,-472,1392,2423,2065,7467,109,4218,-3619,901,0,2025-01-03T10:15:00+00:00,110,1737,5563,8499,-3200,547,France,760,26,2612,-1743,292,Données temps réel,70206,3128,0
69900,11:30,1,53071,-2433,2025-01-03,0,252,356,1,0,72400,311,-21,-415,1307,2301,1975,7468,111,4483,-3619,900,0,2025-01-03T10:30:00+00:00,110,1737,5578,8190,-3200,513,France,760,25,2488,-2026,292,Données temps réel,69822,3042,0
70200,11:45,1,53060,-2433,2025-01-03,0,252,356,1,0,72700,402,-21,-416,996,2181,1895,7468,111,4723,-3619,901,0,2025-01-03T10:45:00+00:00,110,1738,5551,8134,-3200,533,France,760,24,2428,-1648,293,Données temps réel,70002,2733,0
70500,12:00,1,53033,-2367,2025-01-03,0,252,355,2,0,73000,492,-20,-416,1005,2214,1941,6469,111,4814,-3661,898,0,2025-01-03T11:00:00+00:00,110,1738,5495,8201,-3200,520,France,1828,24,2461,-1627,291,Données temps réel,70194,2742,0
70250,12:15,0,52793,-2367,2025-01-03,0,252,356,1,0,72850,552,-7,-217,1002,1895,1966,6469,110,4918,-3661,903,0,2025-01-03T11:15:00+00:00,110,1733,5359,7807,-3200,513,France,1828,24,2478,-1341,295,Données temps réel,70176,2734,0
70000,12:30,1,52876,-2367,2025-01-03,0,252,357,1,0,72700,488,-3,-213,948,1823,1989,6518,111,5237,-3661,904,0,2025-01-03T11:30:00+00:00,110,1734,5439,7749,-3200,500,France,1828,23,2489,-1549,295,Données temps réel,70278,2681,0
70650,12:45,0,53007,-2367,2025-01-03,0,252,358,1,0,73250,560,-4,-216,826,1877,2038,6518,110,5639,-3661,905,0,2025-01-03T11:45:00+00:00,110,1733,5385,7822,-3200,484,France,1828,22,2522,-1121,295,Données temps réel,71217,2558,0
71300,13:00,0,52684,-2514,2025-01-03,0,252,357,1,0,73800,358,-4,-216,752,1758,2106,6670,109,5543,-3993,907,0,2025-01-03T12:00:00+00:00,110,1723,5387,7503,-3200,491,France,1339,22,2597,-1627,298,Données temps réel,69967,2473,0
69750,13:15,1,52760,-2514,2025-01-03,0,252,357,2,0,72450,332,-1,-9,645,1628,2177,6670,111,5480,-3993,907,0,2025-01-03T12:15:00+00:00,110,1707,5292,7252,-3200,481,France,1339,22,2657,-2544,298,Données temps réel,68963,2351,0
68200,13:30,0,52420,-2514,2025-01-03,0,252,358,1,0,71100,234,-40,-14,518,1538,2314,6633,110,5499,-3993,906,0,2025-01-03T12:30:00+00:00,110,1706,5252,7024,-3200,472,France,1339,21,2786,-2835,296,Données temps réel,68075,2223,0
67800,13:45,0,52231,-2514,2025-01-03,0,252,357,1,0,70600,206,-41,-13,521,1308,2413,6633,109,5301,-3993,906,0,2025-01-03T12:45:00+00:00,110,1706,5198,6712,-3200,464,France,1339,21,2877,-2734,297,Données temps réel,67570,2225,0
67400,14:00,0,52125,-2514,2025-01-03,0,252,356,1,0,70100,162,-40,-16,560,1349,2485,6553,110,5111,-4171,904,0,2025-01-03T13:00:00+00:00,110,1706,5161,6673,-3200,423,France,1063,21,2908,-2744,297,Données temps réel,67292,2264,0
66650,14:15,1,51928,-2514,2025-01-03,0,252,355,2,0,69850,109,-6,-9,571,1351,2549,6553,111,4714,-4171,905,0,2025-01-03T13:15:00+00:00,110,1705,5145,6606,-3200,387,France,1063,22,2936,-2937,299,Données temps réel,66519,2274,0
65900,14:30,1,51836,-2514,2025-01-03,0,252,356,2,0,69600,106,-5,-8,545,1353,2614,6559,111,4494,-4171,904,0,2025-01-03T13:30:00+00:00,110,1705,5136,6594,-3200,385,France,1063,22,2999,-3232,296,Données temps réel,65940,2249,0
65450,14:45,1,51600,-2514,2025-01-03,0,252,356,1,0,68850,103,-4,-13,518,1321,2605,6559,111,4065,-4171,901,0,2025-01-03T13:45:00+00:00,110,1704,5077,6501,-3200,393,France,1063,22,2998,-3000,294,Données temps réel,65379,2221,0
65000,15:00,1,51584,-2439,2025-01-03,0,252,356,2,0,68100,188,-3,-9,588,1359,2517,6040,111,3620,-4561,903,0,2025-01-03T14:00:00+00:00,110,1705,5071,6617,-3200,399,France,742,22,2916,-3126,295,Données temps réel,64906,2293,0
64700,15:15,1,51900,-2439,2025-01-03,0,252,358,18,0,67800,300,0,-8,621,1399,2654,6040,111,3108,-4561,909,0,2025-01-03T14:15:00+00:00,110,1707,5143,6842,-3200,412,France,742,22,3066,-3602,299,Données temps réel,64668,2328,0
64400,15:30,1,52074,-2439,2025-01-03,0,252,359,17,0,67500,297,-1,-9,636,1509,2639,5947,111,2622,-4561,913,0,2025-01-03T14:30:00+00:00,110,1709,5197,7003,-3200,443,France,742,23,3082,-3682,302,Données temps réel,64471,2344,0
64050,15:45,1,51960,-2439,2025-01-03,0,252,361,18,0,67250,318,0,-12,741,1710,2582,5947,111,2034,-4561,921,0,2025-01-03T14:45:00+00:00,110,1707,5274,7301,-3200,464,France,742,23,3045,-3749,308,Données temps réel,64066,2446,0
63700,16:00,0,51839,-2514,2025-01-03,0,252,359,17,0,67000,673,-2,-13,867,1915,2548,4662,110,1560,-4461,911,0,2025-01-03T15:00:00+00:00,110,1708,5311,7899,-3200,465,France,-361,24,3013,-3954,300,Données temps réel,63946,2573,0
64000,16:15,1,52166,-2514,2025-01-03,0,252,356,52,0,66900,1639,-1,-3,932,2680,2482,4662,111,1151,-4461,906,0,2025-01-03T15:15:00+00:00,110,1709,5762,10080,-3200,434,France,-361,24,2916,-5920,298,Données temps réel,64093,2640,0
64300,16:30,1,52123,-2514,2025-01-03,0,252,355,52,0,66800,1763,-2,-1,963,2714,2514,4703,111,852,-4461,899,0,2025-01-03T15:30:00+00:00,110,1708,5789,10266,-3200,430,France,-361,24,2944,-5529,293,Données temps réel,64379,2670,0
65050,16:45,1,52319,-2514,2025-01-03,0,252,357,52,0,67500,2330,-1,0,986,2849,2473,4703,111,557,-4461,896,0,2025-01-03T15:45:00+00:00,110,1709,5889,11068,-3200,429,France,-361,24,2902,-5870,288,Données temps réel,64719,2693,0
65800,17:00,1,52679,-2514,2025-01-03,0,252,357,16,0,68200,2768,0,-2,1029,2944,2519,4925,111,361,-3160,905,0,2025-01-03T16:00:00+00:00,110,1712,6009,11722,-3200,416,France,-1906,24,2935,-5954,296,Données temps réel,65506,2740,0
67000,17:15,1,53044,-2514,2025-01-03,0,252,357,2,0,69400,2812,-6,-1,975,3252,2539,4925,111,328,-3160,897,0,2025-01-03T16:15:00+00:00,110,1733,6125,12189,-3200,420,France,-1906,23,2960,-5679,288,Données temps réel,66543,2707,0
68200,17:30,1,53043,-2514,2025-01-03,0,252,356,32,0,70600,3167,0,0,1026,3720,2566,5152,111,306,-3160,897,0,2025-01-03T16:30:00+00:00,110,1735,6181,13068,-3200,437,France,-1906,23,3003,-5286,289,Données temps réel,67927,2760,0
69250,17:45,1,53093,-2514,2025-01-03,0,252,359,34,0,71600,4054,-1,0,1017,4040,2572,5152,111,317,-3160,902,0,2025-01-03T16:45:00+00:00,110,1735,6266,14361,-3200,456,France,-1906,23,3027,-5401,291,Données temps réel,69187,2751,0
70300,18:00,0,52994,-2514,2025-01-03,0,252,358,22,0,72600,4033,0,-1,1024,4263,2618,5725,110,307,-2935,895,0,2025-01-03T17:00:00+00:00,110,1732,6352,14649,-1729,482,France,-1838,23,3100,-4753,285,Données temps réel,70071,2756,0
71000,18:15,81,52839,-2514,2025-01-03,0,252,357,1,0,73300,3844,-26,-1,987,4145,2713,5675,191,306,-2935,897,0,2025-01-03T17:15:00+00:00,110,1740,6479,14468,-1729,455,France,-1788,24,3168,-3680,288,Données temps réel,70882,2726,0
71700,18:30,626,52776,-2514,2025-01-03,0,252,355,2,0,74000,3880,-25,-2,996,4240,2762,5726,736,0,-2935,893,0,2025-01-03T17:30:00+00:00,110,1782,6435,14556,-1729,466,France,-1838,29,3229,-3551,286,Données temps réel,71383,2778,0
72100,18:45,744,52846,-2514,2025-01-03,0,252,355,1,0,74450,3959,-24,-2,987,4355,2813,5726,854,0,-2935,894,0,2025-01-03T17:45:00+00:00,110,1830,6482,14797,-1729,476,France,-1838,31,3289,-3673,287,Données temps réel,71791,2816,0
72500,19:00,747,52883,-2514,2025-01-03,0,252,356,2,0,74900,3958,-24,0,993,4338,2846,7154,857,0,-3564,897,0,2025-01-03T18:00:00+00:00,110,1829,6496,14793,-245,496,France,-2410,31,3342,-3262,289,Données temps réel,72302,2821,0
72200,19:15,748,52931,-2514,2025-01-03,0,252,354,1,0,74450,3219,-19,-1,1005,4086,2860,7154,858,0,-3564,894,0,2025-01-03T18:15:00+00:00,110,1833,6496,13801,-245,519,France,-2410,31,3380,-2715,288,Données temps réel,71960,2837,0
71900,19:30,753,52924,-2514,2025-01-03,0,252,355,1,0,74000,3068,-20,-3,972,3808,2905,7138,863,0,-3564,895,0,2025-01-03T18:30:00+00:00,110,1834,6492,13368,-245,527,France,-2410,31,3433,-2488,289,Données temps réel,71770,2805,0
71200,19:45,753,53014,-2514,2025-01-03,0,252,353,1,0,73200,2954,-19,-2,862,3727,2974,7138,863,0,-3564,894,0,2025-01-03T18:45:00+00:00,110,1833,6479,13160,-245,531,France,-2410,30,3505,-2936,290,Données temps réel,71167,2695,0
70500,20:00,756,53026,-2514,2025-01-03,0,252,353,1,0,72400,2802,-19,-1,776,3782,3058,7129,866,0,-3973,898,0,2025-01-03T19:00:00+00:00,110,1832,6523,13108,-1644,535,France,-2530,30,3594,-3636,293,Données temps réel,70435,2607,0
69750,20:15,755,53263,-2514,2025-01-03,0,252,354,2,0,71800,2584,-14,-2,806,3876,3150,7129,865,0,-3973,895,0,2025-01-03T19:15:00+00:00,110,1817,6492,12952,-1644,521,France,-2530,30,3672,-4648,290,Données temps réel,69600,2622,0
69000,20:30,219,53302,-2514,2025-01-03,0,252,354,2,0,71200,2224,-14,0,815,3817,3115,7123,329,0,-3973,890,0,2025-01-03T19:30:00+00:00,110,1731,6399,12440,-1644,535,France,-2530,24,3650,-4563,284,Données temps réel,68570,2544,0
68050,20:45,0,53295,-2514,2025-01-03,0,252,354,2,0,70000,1814,-15,-2,807,3660,3122,7123,109,0,-3973,891,0,2025-01-03T19:45:00+00:00,110,1732,6339,11813,-1644,548,France,-2530,22,3670,-4387,285,Données temps réel,67907,2539,0
67100,21:00,0,53313,-2514,2025-01-03,0,252,355,2,0,68800,1245,-15,0,803,3553,3128,7989,109,0,-3952,892,0,2025-01-03T20:00:00+00:00,110,1731,6329,11127,-2765,557,France,-3225,22,3684,-4215,285,Données temps réel,67422,2533,0
66700,21:15,1,53346,-2514,2025-01-03,0,252,357,28,0,68150,1608,-1,-2,421,3850,3178,7989,111,0,-3952,900,0,2025-01-03T20:15:00+00:00,110,1736,6169,11627,-2765,508,France,-3225,20,3686,-4866,291,Données temps réel,66977,2156,0
66300,21:30,0,53347,-2514,2025-01-03,0,252,357,28,0,67500,1502,-1,-2,362,3543,3039,7890,110,0,-3952,897,0,2025-01-03T20:30:00+00:00,110,1733,6100,11145,-2765,512,France,-3225,20,3551,-4880,288,Données temps réel,66281,2094,0
65900,21:45,0,53246,-2514,2025-01-03,0,252,362,28,0,66850,1388,-4,-26,360,3524,3093,7890,110,0,-3952,904,0,2025-01-03T20:45:00+00:00,110,1735,6071,10983,-2765,513,France,-3225,20,3605,-5189,291,Données temps réel,65744,2094,0
65500,22:00,0,53212,-2445,2025-01-03,0,252,360,28,0,66200,1285,-2,-43,351,3397,3137,6614,108,0,-3134,906,0,2025-01-03T21:00:00+00:00,110,1733,6026,10708,-2497,526,France,-2250,20,3663,-4911,294,Données temps réel,65745,2084,0
65950,22:15,0,53263,-2445,2025-01-03,0,252,360,1,0,66800,1513,-3,-56,564,3610,3069,6614,110,0,-3134,907,0,2025-01-03T21:15:00+00:00,110,1736,6007,11130,-2497,552,France,-2250,21,3620,-4762,296,Données temps réel,66502,2299,0
66400,22:30,0,53296,-2445,2025-01-03,0,252,360,1,0,67400,1880,-3,-59,509,3570,3046,6841,110,0,-3134,904,0,2025-01-03T21:30:00+00:00,110,1734,5935,11385,-2497,542,France,-2250,21,3588,-4503,293,Données temps réel,66955,2243,0
67100,22:45,0,53285,-2445,2025-01-03,0,252,357,1,0,68300,2052,-3,-60,541,3697,3044,6841,110,0,-3134,904,0,2025-01-03T21:45:00+00:00,110,1736,5959,11708,-2497,558,France,-2250,21,3603,-3547,295,Données temps réel,68268,2276,0
67800,23:00,0,53197,-2463,2025-01-03,0,252,358,1,0,69200,1987,-2,-57,541,3496,3025,6638,110,0,-2623,906,0,2025-01-03T22:00:00+00:00,110,1737,5978,11460,-2312,562,France,-1810,21,3588,-3682,296,Données temps réel,67789,2277,0
67500,23:15,0,53094,-2463,2025-01-03,0,252,357,2,0,68750,1474,-12,-56,515,3313,2966,6638,109,0,-2623,903,0,2025-01-03T22:15:00+00:00,110,1737,5834,10621,-2312,615,France,-1810,21,3581,-2694,294,Données temps réel,67793,2251,0
67200,23:30,1,52971,-2463,2025-01-03,0,252,357,2,0,68300,991,-14,-58,553,3303,2985,6577,111,0,-2623,910,0,2025-01-03T22:30:00+00:00,110,1736,5804,10098,-2312,634,France,-1810,22,3619,-2859,301,Données temps réel,67059,2288,0
67200,23:45,1,52789,-2463,2025-01-03,0,252,359,37,0,67250,1289,0,-56,555,3433,2955,6575,111,0,-2623,913,0,2025-01-03T22:45:00+00:00,110,1699,5738,10460,-2312,627,France,-1808,21,3581,-2605,302,Données temps réel,67475,2254,0
67200,00:00,1,52703,-2512,2025-01-04,0,252,358,27,0,66200,1251,-5,0,522,3208,2905,4947,111,0,-2813,914,0,2025-01-03T23:00:00+00:00,110,1693,5702,10160,-2370,679,France,-901,21,3583,-2832,304,Données temps réel,66868,2214,0
66500,00:15,0,52572,-2512,2025-01-04,0,252,358,34,0,65350,1747,-1,0,284,3692,2762,4947,110,0,-2813,910,0,2025-01-03T23:15:00+00:00,110,1702,5662,11101,-2370,672,France,-901,20,3433,-3317,300,Données temps réel,66819,1986,0
65800,00:30,0,52581,-2512,2025-01-04,0,252,358,1,0,64500,1531,-7,-2,148,3475,2721,4918,109,0,-2813,905,0,2025-01-03T23:30:00+00:00,110,1705,5625,10631,-2370,638,France,-901,19,3360,-3897,295,Données temps réel,65525,1851,0
64800,00:45,1,52533,-2512,2025-01-04,0,252,358,1,0,63400,804,-5,-1,140,3153,2677,4918,111,0,-2813,902,0,2025-01-03T23:45:00+00:00,110,1736,5576,9534,-2370,652,France,-901,19,3329,-4145,293,Données temps réel,64127,1875,0
63800,01:00,1,52529,-2514,2025-01-04,0,252,358,1,0,62300,765,-6,-1,103,2226,2646,4191,111,0,-2630,905,0,2025-01-04T00:00:00+00:00,110,1736,5602,8593,-2375,612,France,-45,20,3257,-3716,295,Données temps réel,63501,1838,0
64100,01:15,0,52521,-2514,2025-01-04,0,252,349,1,0,62450,807,-51,-21,149,2390,2635,4191,109,0,-2630,898,0,2025-01-04T00:15:00+00:00,110,1735,5554,8752,-2375,599,France,-45,20,3234,-3490,298,Données temps réel,63829,1884,0
64400,01:30,1,52531,-2514,2025-01-04,0,252,359,1,0,62600,783,-50,-417,143,2259,2675,4146,111,0,-2630,912,0,2025-01-04T00:30:00+00:00,110,1735,5498,8540,-2375,575,France,-45,20,3250,-3678,301,Données temps réel,63069,1877,0
64050,01:45,0,52337,-2514,2025-01-04,0,252,358,1,0,62400,797,-51,-418,136,2120,2690,4146,109,0,-2630,906,0,2025-01-04T00:45:00+00:00,110,1737,5398,8315,-2375,527,France,-45,20,3218,-3117,297,Données temps réel,63165,1872,0
63700,02:00,0,49823,-2514,2025-01-04,0,252,357,29,0,62200,913,0,-412,110,2308,2611,2021,109,0,-2198,906,0,2025-01-04T01:00:00+00:00,110,1737,5483,8704,-2385,591,France,1156,20,3202,-1841,297,Données temps réel,62357,1847,0
62600,02:15,0,49764,-2514,2025-01-04,0,252,357,73,0,61600,1719,0,-415,136,2988,2600,2371,109,0,-2198,903,0,2025-01-04T01:15:00+00:00,110,1738,5501,10208,-1985,631,France,1156,20,3231,-3108,294,Données temps réel,62630,1874,0
61500,02:30,0,49633,-2514,2025-01-04,0,252,356,1,0,61000,1325,-18,-438,135,2631,2678,1993,110,0,-2198,901,0,2025-01-04T01:30:00+00:00,110,1828,5440,9397,-1985,594,France,1146,21,3273,-3632,294,Données temps réel,61181,1962,0
60800,02:45,0,49436,-2514,2025-01-04,0,252,356,1,0,60200,1358,-17,-349,106,2667,2657,1993,109,0,-2198,900,0,2025-01-04T01:45:00+00:00,110,1845,5412,9437,-1985,549,France,1146,21,3206,-3883,293,Données temps réel,60781,1950,0
60100,03:00,148,49406,-2514,2025-01-04,0,252,350,1,0,59400,1053,-16,-347,107,2357,2710,504,258,0,-3222,897,0,2025-01-04T02:00:00+00:00,110,1890,5419,8829,-1985,558,France,2100,23,3268,-4518,296,Données temps réel,59765,1996,0
59800,03:15,349,49481,-2514,2025-01-04,0,252,354,1,0,58800,1697,-28,-346,133,2483,2786,154,459,0,-3222,899,0,2025-01-04T02:15:00+00:00,110,1977,5453,9633,-2385,471,France,2100,26,3258,-5665,293,Données temps réel,59790,2109,0
59500,03:30,339,49664,-2514,2025-01-04,0,252,350,1,0,58200,1644,-28,-346,118,2438,2815,-288,449,0,-3222,899,0,2025-01-04T02:30:00+00:00,110,1977,5439,9521,-2385,465,France,2089,26,3281,-6342,298,Données temps réel,59183,2094,0
59450,03:45,331,49668,-2514,2025-01-04,0,252,351,1,0,57800,2096,-7,-348,142,2673,2851,-288,441,0,-3222,896,0,2025-01-04T02:45:00+00:00,110,1976,5390,10159,-2385,442,France,2089,25,3294,-6696,294,Données temps réel,59516,2117,0
59400,04:00,331,49566,-2493,2025-01-04,0,252,355,1,0,57400,2224,-28,-346,163,2370,2858,-293,441,0,-3067,901,0,2025-01-04T03:00:00+00:00,110,1977,5443,10037,-2374,442,France,2689,26,3301,-6795,295,Données temps réel,59208,2139,0
59250,04:15,338,49392,-2493,2025-01-04,0,252,351,1,0,57300,2237,-48,-346,155,2031,2868,-293,448,0,-3067,894,0,2025-01-04T03:15:00+00:00,110,1980,5458,9726,-2374,507,France,2689,26,3375,-6529,291,Données temps réel,59038,2134,0
59100,04:30,331,49438,-2493,2025-01-04,0,252,359,1,0,57200,2102,-47,-345,153,2008,2944,-673,441,0,-3067,903,0,2025-01-04T03:30:00+00:00,110,1888,5464,9575,-2374,520,France,2689,25,3464,-6674,293,Données temps réel,58786,2040,0
59000,04:45,329,49420,-2493,2025-01-04,0,252,357,1,0,57150,2239,-47,-345,215,2084,2980,-673,439,0,-3067,899,0,2025-01-04T03:45:00+00:00,110,1889,5457,9780,-2374,484,France,2689,25,3463,-6799,290,Données temps réel,58905,2103,0
58900,05:00,330,49457,-1823,2025-01-04,0,252,358,1,0,57100,2253,-47,-343,185,2282,2998,-701,440,0,-3658,902,0,2025-01-04T04:00:00+00:00,110,1890,5482,10016,-2279,514,France,2504,25,3512,-7163,293,Données temps réel,58841,2074,0
59250,05:15,330,49600,-1823,2025-01-04,0,252,356,2,0,57700,1796,-37,-169,223,2603,3044,-699,440,0,-3658,903,0,2025-01-04T04:15:00+00:00,110,1891,5541,9940,-2279,523,France,2502,25,3566,-7023,295,Données temps réel,59327,2113,0
59600,05:30,332,49694,-1823,2025-01-04,0,252,357,2,0,58300,1737,-37,-168,293,2757,3019,-838,442,0,-3658,902,0,2025-01-04T04:30:00+00:00,110,1892,5548,10042,-2279,510,France,2503,26,3529,-7350,294,Données temps réel,59232,2185,0
59850,05:45,330,49693,-1823,2025-01-04,0,252,357,2,0,58600,1291,-37,0,309,2842,3092,-837,440,0,-3658,908,0,2025-01-04T04:45:00+00:00,110,1901,5463,9595,-2279,481,France,2502,26,3573,-6711,300,Données temps réel,59662,2208,0
60100,06:00,327,49683,-1139,2025-01-04,0,252,357,2,0,58900,732,-39,-1,387,3069,3121,-469,437,0,-3648,907,0,2025-01-04T05:00:00+00:00,110,1899,5471,9273,-2381,492,France,1621,27,3614,-6393,298,Données temps réel,59758,2285,0
60600,06:15,334,49594,-1139,2025-01-04,0,252,357,29,0,59600,1022,-2,-1,583,3486,3125,-467,444,0,-3648,906,0,2025-01-04T05:15:00+00:00,110,1900,5578,10085,-2381,464,France,1619,28,3589,-6589,297,Données temps réel,60529,2482,0
61100,06:30,329,49510,-1139,2025-01-04,0,252,361,29,0,60300,1031,-3,-1,1049,3512,3151,-649,439,0,-3648,908,0,2025-01-04T05:30:00+00:00,110,1898,5629,10172,-2381,503,France,1619,30,3654,-6916,296,Données temps réel,60730,2946,0
61550,06:45,328,49435,-1139,2025-01-04,0,252,360,29,0,60900,950,-2,0,1308,3552,3190,-649,438,0,-3648,908,0,2025-01-04T05:45:00+00:00,110,1898,5735,10237,-2381,460,France,1619,32,3649,-6751,296,Données temps réel,61141,3205,0
62000,07:00,328,49336,-964,2025-01-04,0,252,358,29,0,61500,1010,-4,0,1452,3612,3193,-2143,438,0,-3074,903,0,2025-01-04T06:00:00+00:00,110,1898,5880,10502,-2148,455,France,2984,32,3648,-6497,293,Données temps réel,61696,3349,0
62600,07:15,330,49415,-964,2025-01-04,0,252,358,1,0,62100,771,-8,-2,1727,3790,3268,-2143,440,0,-3074,905,0,2025-01-04T06:15:00+00:00,110,1900,5996,10557,-2148,491,France,2984,34,3759,-6412,295,Données temps réel,62273,3625,0
63200,07:30,329,49250,-964,2025-01-04,0,252,362,1,0,62700,794,-6,0,1811,3792,3321,-2697,439,0,-3074,911,0,2025-01-04T06:30:00+00:00,110,1901,6016,10601,-2148,482,France,2983,35,3803,-5745,297,Données temps réel,62955,3710,0
63750,07:45,330,49581,-964,2025-01-04,0,252,361,22,0,63450,934,-3,-2,1967,4050,3377,-2697,440,0,-3074,906,0,2025-01-04T06:45:00+00:00,110,1901,6169,11153,-2148,536,France,2983,35,3913,-6416,293,Données temps réel,63451,3867,0
64300,08:00,326,49391,-1093,2025-01-04,0,252,361,22,0,64200,1129,-7,-2,2269,4160,3382,-2218,436,311,-3032,908,0,2025-01-04T07:00:00+00:00,110,1901,6221,11509,-2366,562,France,3066,36,3944,-6155,295,Données temps réel,64516,4169,0
64700,08:15,330,49626,-1093,2025-01-04,0,252,358,1,0,64750,878,-8,0,2650,4188,3542,-2218,440,360,-3032,905,0,2025-01-04T07:15:00+00:00,110,1898,6462,11527,-2366,550,France,3066,38,4092,-6712,295,Données temps réel,64770,4547,0
65100,08:30,330,49417,-1093,2025-01-04,0,252,359,1,0,65300,1120,-6,0,3079,4105,3598,-2977,440,396,-3032,906,0,2025-01-04T07:30:00+00:00,110,1899,6486,11711,-2366,566,France,3065,41,4164,-6862,295,Données temps réel,65137,4978,0
65750,08:45,329,49525,-1093,2025-01-04,0,252,357,2,0,65800,1125,-10,-1,3443,4187,3552,-2977,439,481,-3032,905,0,2025-01-04T07:45:00+00:00,110,1897,6405,11716,-2366,650,France,3065,42,4203,-6988,296,Données temps réel,65601,5339,0
66400,09:00,330,49641,-593,2025-01-04,0,252,359,2,0,66300,1134,-6,0,3709,4195,3571,-2540,440,580,-3102,902,0,2025-01-04T08:00:00+00:00,110,1845,6404,11733,-2123,691,France,2648,43,4262,-6814,292,Données temps réel,66286,5553,0
66850,09:15,0,49777,-593,2025-01-04,0,252,359,3,0,67150,1163,-2,-2,3793,4310,3555,-2541,110,919,-3102,906,0,2025-01-04T08:15:00+00:00,110,1762,6392,11865,-2123,642,France,2649,40,4198,-6220,295,Données temps réel,67098,5554,0
67300,09:30,1,49873,-593,2025-01-04,0,252,359,3,0,68000,1202,-2,-2,3767,4349,3531,-2427,111,1208,-3102,902,0,2025-01-04T08:30:00+00:00,110,1763,6419,11970,-2149,681,France,2649,39,4212,-6412,292,Données temps réel,67384,5529,0
67850,09:45,1,49917,-593,2025-01-04,0,252,359,3,0,68300,1300,-1,-1,3773,4342,3536,-2426,111,1580,-3102,904,0,2025-01-04T08:45:00+00:00,110,1765,6417,12059,-2149,690,France,2648,39,4226,-6464,293,Données temps réel,67862,5537,0
68400,10:00,1,49920,-1564,2025-01-04,0,252,360,3,0,68600,1388,-1,-1,3806,3696,3532,-1436,111,1889,-2334,903,0,2025-01-04T09:00:00+00:00,110,1762,6422,11506,-2357,686,France,2920,39,4218,-5797,292,Données temps réel,68310,5567,0
68850,10:15,0,49979,-1564,2025-01-04,0,252,358,3,0,68900,1390,-2,-45,3843,3801,3496,-1436,110,2281,-2334,902,0,2025-01-04T09:15:00+00:00,110,1758,6496,11686,-2357,635,France,2920,39,4131,-5545,293,Données temps réel,69092,5600,0
