,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
0,2025-01-01 00:00:00+01:00,63073.75,2.6837082,2.5276785,-4.351144,1.2455133,-1.9048231,2.127563,0.65129507,-0.4350635,3.203647,1.8117949,1.1871743,-1.2813213,1.030294,1.1355193,-0.76952404,-1.4731812,-0.7759739,-1.3003861
1,2025-01-01 01:00:00+01:00,61134.25,2.3637862,2.6229978,-4.3467665,1.4640175,-1.6772116,2.2849107,0.6279452,-0.78429115,3.143848,1.850934,1.1611434,-0.98470306,1.0019481,0.8538053,-0.94628197,-1.4728868,-0.7685229,-1.1906106
2,2025-01-01 02:00:00+01:00,60263.25,2.1013567,2.813057,-4.608328,1.3680744,-1.6351306,2.1522865,0.6969738,1.0014052,3.2129073,1.756173,1.0446517,-0.851141,1.0952196,0.37808877,-1.1362957,-1.369168,-0.799829,-1.0129852
3,2025-01-01 03:00:00+01:00,57825.25,1.6617689,2.8619263,-4.7048836,1.4520451,-1.620451,2.2244298,0.5144729,0.91733646,2.9298244,2.1242144,1.1322838,-0.94262135,1.1003795,0.6419183,-1.0578266,-1.3847182,-0.71996444,-0.8851211
4,2025-01-01 04:00:00+01:00,55917.25,1.3809237,2.8404758,-4.691097,1.8104519,-1.7764509,2.4587057,0.27547976,-0.77284443,2.7508643,2.217859,1.2523799,-0.9384711,1.0749359,0.63622165,-1.1083272,-1.324353,-0.72896016,-0.64294034
5,2025-01-01 05:00:00+01:00,55528.25,1.3839808,3.009682,-4.446465,1.7766376,-1.7197483,2.479044,0.21497671,-0.81445926,2.5646896,2.3182235,1.177617,-0.8466436,1.0305756,0.6837622,-1.0864933,-1.5092098,-0.60568756,-0.69231606
6,2025-01-01 06:00:00+01:00,56019.75,1.3495704,3.274794,-4.6121197,1.714009,-1.7440964,2.4020214,0.40495268,0.49356276,2.6389282,2.275912,1.0924103,-0.90086144,1.047078,0.63978493,-1.1327748,-1.4953836,-0.57262295,-0.6458646
7,2025-01-01 07:00:00+01:00,56637.25,1.5204662,3.4315546,-4.790741,1.7500733,-1.7834156,2.4608438,0.59343284,1.1257734,2.672639,2.1246994,1.1633029,-0.89674973,1.0557735,0.5164417,-1.2212174,-1.4530933,-0.6336024,-0.56480074
8,2025-01-01 08:00:00+01:00,57239.0,1.4719284,3.6824398,-4.5055165,1.7734505,-1.6395042,2.2558913,0.28489047,0.0775462,2.3525734,1.9616292,0.98664045,-1.1255895,0.92767155,0.9766096,-0.8158476,-1.3440278,-0.50126183,-0.4482027
9,2025-01-01 09:00:00+01:00,57681.25,1.3803602,4.0800867,-4.241765,1.9997411,-1.7699549,2.062819,-0.057099316,-1.0616953,2.0895972,1.6948732,0.68201905,-0.736644,0.84276783,0.58497095,-0.9651698,-1.4616938,-0.375224,-0.24079496
