,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
5345,2025-08-11 17:00:00+01:00,47416.25,-1.5404451,-1.6093878,0.23437023,-0.32664466,-1.2237716,-1.1599171,0.6376204,-0.52911687,-0.933265,-0.93790954,0.49648088,0.03079436,-0.2731524,0.3564471,-0.000329433,-0.5719781,-1.1922114,-0.3778867
4102,2025-06-20 22:00:00+01:00,46266.0,0.8591244,-1.010672,1.1539166,-0.43466827,1.2946383,2.367892,1.3111653,-0.43652204,0.36025828,-1.0065228,0.011858659,-0.05858005,-0.27730763,-0.19399011,0.6433965,-0.06853198,-0.5345806,0.14881918
6389,2025-09-24 05:00:00+01:00,41144.0,-2.680161,0.5649966,0.94949913,0.20438738,-1.0063773,0.10949425,0.23788872,-1.2134352,0.16414957,0.46973658,-0.5141479,-0.5410428,0.23362806,-0.8713998,-0.0007484481,0.07249513,-0.6038271,-0.7371037
6378,2025-09-23 18:00:00+01:00,50191.0,-0.9032266,0.9333571,1.5249258,0.13454138,-0.12933025,-0.6131417,2.926298,1.7099397,0.7214206,-0.4933533,-0.35857034,0.32418707,-0.20280857,-0.49271873,-0.75631464,-0.5791793,-0.8574991,-0.8341913
1499,2025-03-04 11:00:00+01:00,62666.75,1.1178652,-2.6077375,-4.4496875,1.0207665,-0.20367414,-0.45339325,-1.2399409,-1.7032161,1.0199939,-1.7676721,0.43203038,-0.86077666,0.23554829,-0.83812976,-0.88418865,0.020325568,0.17070854,-0.7562736
1788,2025-03-16 12:00:00+01:00,61593.75,0.37806937,-1.6221387,-5.691691,1.8522522,0.024141964,-0.8291811,2.1227949,-0.3509071,-1.1102028,-0.9334501,0.49171263,-1.459817,0.14699185,0.58333737,-1.5505949,-0.084134445,-0.6468891,-1.1069248
7170,2025-10-26 18:00:00+01:00,49019.75,-0.2062318,2.4678755,2.490288,0.9035953,-0.7744556,1.5207956,1.8603379,-3.138751,1.4569954,-2.233914,0.5947114,1.2667947,-0.63558245,-1.3670955,-0.13472547,0.7005425,-0.6288738,0.5606352
3889,2025-06-12 01:00:00+01:00,37200.25,-1.7939343,1.4030616,0.17654097,-0.53411007,1.7880027,2.2662795,-1.1510859,1.0381203,0.18430535,-0.21785112,-0.023013433,-0.0968861,-0.259166,0.098514095,-0.19524778,0.35863617,0.12816897,0.3616583
3028,2025-05-07 04:00:00+01:00,37090.5,-1.4215233,1.0628237,-0.07686485,-0.5641556,2.4947524,0.41962337,-0.5654129,0.108258046,-0.15643904,0.5250831,0.5638658,-0.035682645,-0.15463737,0.48062545,-0.26644582,0.58176494,-0.3625109,0.78416204
7244,2025-10-29 20:00:00+01:00,52711.0,0.9033443,1.9438876,4.343912,1.3496612,-0.5884093,0.74368346,0.9860199,0.86642814,0.69634515,-1.94864,-0.99717444,1.3106983,3.460513,2.004446,-0.7043808,0.92049897,0.97520024,0.21732262
3685,2025-06-03 13:00:00+01:00,47000.0,-1.523698,-1.2261559,-1.3854063,-0.0077342987,-0.9009839,-0.39095008,0.7372556,-0.10336043,2.5196462,0.8260781,0.029587613,0.6260063,-0.14819846,0.36035657,0.18750103,0.33877453,0.20171969,0.6277553
